"","logFC","t","P.Value","adj.P.Val","B"
"237887",1.2706958588122,2.94538811279464,0.0106404152033661,0.0106404152033661,-2.66253683087949
"232413",1.58063336536724,2.94002158004468,0.0107540258352441,0.0107540258352441,-2.67202750995911
"67052",1.22146243239059,2.93731503612441,0.0108117760329212,0.0108117760329212,-2.67681292532721
"20296",2.15626858825871,2.93193174300944,0.0109275493401071,0.0109275493401071,-2.68632887869449
"14130",1.29098968148016,2.92230059604264,0.0111377277560409,0.0111377277560409,-2.70334628528927
"73656",1.49484941801593,2.91654643139227,0.0112651914965792,0.0112651914965792,-2.71350878849409
"237886",1.60425436474932,2.88349016812438,0.0120256939984211,0.0120256939984211,-2.77182044699049
"72415",1.22842630769385,2.87847816701692,0.0121453190949417,0.0121453190949417,-2.78065099772987
"666907",1.39757592368043,2.86655020979516,0.0124347274183819,0.0124347274183819,-2.80165489609507
"14104",-1.26011112761632,-2.8535963599463,0.0127566880130148,0.0127566880130148,-2.82444613112003
"12235",1.22167741844175,2.84439857253932,0.0129902389857553,0.0129902389857553,-2.84061647186697
"246730",1.37350246029958,2.83795014672787,0.0131564700367771,0.0131564700367771,-2.85194697404238
"20288",2.01675961214699,2.83788661263637,0.0131581181712919,0.0131581181712919,-2.85205858352259
"15945",2.48609868752689,2.83778923410487,0.0131606446549965,0.0131606446549965,-2.85222964608376
"21973",1.63892001208183,2.83574747811413,0.0132137274765414,0.0132137274765414,-2.85581607424674
"17084",1.20305245587067,2.83488334309472,0.0132362568647377,0.0132362568647377,-2.85733380369834
"50778",1.76615133414915,2.82456971323776,0.0135080691523722,0.0135080691523722,-2.87544084333831
"108907",1.35582630179046,2.80328888094718,0.0140862866091201,0.0140862866091201,-2.91275837814356
"54123",1.93086205691356,2.80116551377178,0.0141452905589877,0.0141452905589877,-2.91647853561301
"15958",1.54662988603451,2.79304055734006,0.0143733041194889,0.0143733041194889,-2.93070783750882
"58203",1.59531728443085,2.78970165555146,0.0144680421904833,0.0144680421904833,-2.93655264341564
"16323",1.38947286761404,2.7830852771369,0.0146575801105828,0.0146575801105828,-2.94813013262026
"15951",1.85873233732507,2.76816578864629,0.0150939123478913,0.0150939123478913,-2.97421380413462
"11370",-1.22259265437329,-2.76564685944496,0.0151688201072458,0.0151688201072458,-2.97861447231339
"80986",1.37474696526312,2.76076181385411,0.015315125874832,0.015315125874832,-2.98714619636097
"23845",1.80041710481971,2.75923271352237,0.015361204071972,0.015361204071972,-2.98981604699306
"20555",1.38768346633455,2.74932590427946,0.0156630281506231,0.0156630281506231,-3.0071051953251
"56620",1.37433744934084,2.74924810408953,0.0156654211545128,0.0156654211545128,-3.00724091245331
"17474",1.851532280864,2.74811635440798,0.0157002721868763,0.0157002721868763,-3.00921506958194
"381308",1.90874458036192,2.73324579411154,0.0161652694855954,0.0161652694855954,-3.03513630255787
"16175",1.41509040653624,2.72575060062994,0.0164046959052994,0.0164046959052994,-3.04818842583511
"22229",-1.32300252366755,-2.72265575870806,0.0165045608541189,0.0165045608541189,-3.05357521368938
"636752",-1.41470646180404,-2.71437263784367,0.0167747600950883,0.0167747600950883,-3.06798509630372
"27052",1.56054400261866,2.710936227351,0.016888115381061,0.016888115381061,-3.07396009194622
"15959",1.33611204645591,2.71002576501248,0.0169182729392941,0.0169182729392941,-3.07554282294146
"80838",1.62253372199675,2.70275810778621,0.0171608856599411,0.0171608856599411,-3.08817196592756
"19013",-1.4585285667934,-2.68930673637727,0.0176188734619945,0.0176188734619945,-3.11152378009225
"13605",1.45712935751653,2.68892514266248,0.0176320374343506,0.0176320374343506,-3.11218579463891
"246728",1.26717209879711,2.67865397750904,0.0179899736126578,0.0179899736126578,-3.12999568367513
"20210",3.56284411842338,2.67177778824474,0.018233528376296,0.018233528376296,-3.141908749761
