"","control","LPS","BaP","combination"
"104307_at",0,0.377490864757343,-0.42816649315387,-0.0553828299236586
"104725_at",0,0.401029059040131,-0.0141634737766032,0.24484785988266
"104759_at",0,0.696357896293574,0.0806211310979661,1.535869944673
"104884_at",0,-0.109524030547948,-0.0800010155890836,-0.270162364751148
"105203_at",0,0.329576030899382,-0.173886893243986,0.0163766893009146
"105722_at",0,-0.0957237755043706,0.19314128645822,0.0253741185374884
"105833_at",0,-0.401691494099499,0.228392936850426,-0.341560303513552
"106021_at",0,-0.0730795301281664,-0.0693173099616928,-0.0272849362690166
"106522_at",0,-0.132971889931844,-0.0755958871050398,-0.24873698434676
"106572_at",0,0.0364981680298985,0.0691607022059395,0.17407776233814
"106947_at",0,-0.0553460164061689,0.283662339356398,-0.000779017320550741
"107035_at",0,0.0662236188283064,-0.0843129618575453,0.122187981726428
"107372_at",0,-0.143707957046324,-0.450015175035272,-0.241230103569436
"107435_at",0,0.805286136379802,0.151383764111014,0.768291083465767
"107587_at",0,-0.145924913771789,-0.255656856945309,-0.367559747019322
"108096_at",0,0.806307542655781,0.257767986663645,0.719202808142315
"108652_at",0,0.396353765074181,-0.0820832164598899,0.330899105866084
"108664_at",0,0.132131282283748,-0.2783033902771,0.0849670524786117
"108760_at",0,-0.532245868690558,-0.0505004960673937,-0.589720210239587
"109151_at",0,-0.00792896950520919,-0.157726736323358,-0.103742568710275
"109241_at",0,-0.143074056227331,0.0887830206359643,-0.166989134111752
"109801_at",0,-0.0913351020493818,-0.136444697337534,-0.340923394608725
"110119_at",0,0.144184689607883,-0.0740191007430079,0.0660535396511776
"110606_at",0,-0.0528506720151655,0.306022762922333,-0.150352806528459
"110648_at",0,0.239574101159545,-0.0175874895295552,0.102078808833942
"110835_at",0,0.101918028343421,-0.162653070893151,-0.0978189055879062
"111970_at",0,-0.0689828522582805,-0.0776514219014622,0.171171334042034
"113856_at",0,-0.145147871191912,-0.303136268689648,-0.1977796359972
"11487_at",0,0.296792888942777,0.0630326424643708,0.322637134610348
"11536_at",0,-0.700467668552359,0.238705298571822,-0.376010491220001
"11537_at",0,-2.09792999342317,-0.694618221894598,-3.21637386764753
"11572_at",0,0.196705608059093,-0.0537426247223022,0.205016709669382
"11610_at",0,0.348828971752074,0.622457191152835,0.601490793844387
"11622_at",0,-0.514498212752197,0.0139656135438191,-0.192084964400906
"11658_at",0,0.0707041469634433,0.186677541614706,0.156161285468388
"117066_at",0,0.420332600000849,-0.0163962858482625,0.145340768145421
"117109_at",0,-0.0270347576377257,-0.09578492553126,-0.170145030361826
"117160_at",0,-0.218992782647709,0.229479158587267,-0.0629932764314495
"11736_at",0,0.223013838037438,0.0984630128504245,0.468393145760877
